strategy,neutral_band,top_k_bear,exposure_bear,risk_bear_mult,obj,hold_net_sharpe,hold_net_cagr,hold_net_mdd,hold_calmar,hold_turnover,hold_avg_cost_pct,dev_net_sharpe,dev_net_mdd
bt20_ens,0.05,20,1.0,0.9,0.3296728930096935,0.2397749397623932,0.02248618460430385,-0.08298225222379407,0.27097582918888563,0.07548565229818047,0.005794123016440474,0.2603620720360465,-0.3853074822624363
bt20_ens,0.02,20,1.0,0.9,0.32089243588148264,0.2353082459766733,0.021918079299309,-0.08298225222379407,0.26412972306654603,0.07542193128016839,0.005789662545179629,0.2651784803832677,-0.3837720039670818
bt20_ens,0.05,20,1.0,0.8,0.2747473850892915,0.2111542689222826,0.018628408647428873,-0.08193205744440701,0.22736410177504357,0.07548565229818047,0.0056520764589648356,0.25081667021462295,-0.3698800998199402
bt20_ens,0.02,20,1.0,0.8,0.2321088065661181,0.1897585144390814,0.016001657289322457,-0.08193205744440701,0.19530398464825552,0.07542193128016839,0.005647615987703991,0.2656248571646874,-0.3683002416412775
bt20_ens,0.05,20,0.8,0.9,0.22800000385693017,0.18685424480217425,0.015526252493985204,-0.0810919016208973,0.19146489579896725,0.07548565229818047,0.005538439212984326,0.24152162748346948,-0.35780355131713504
bt20_ens,0.05,20,1.0,0.7,0.2159295699076068,0.18058744445153063,0.014748486036916031,-0.08088186266501995,0.18234602358254667,0.07548565229818047,0.005510029901489199,0.23893279493643663,-0.35482109801212536
bt20_ens,0.05,20,0.8,0.8,0.17881922355779345,0.16133752114867822,0.012409813308857043,-0.0802517457973877,0.15463605415124812,0.07548565229818047,0.005424801967003816,0.2304581246890412,-0.3459614486928362
bt20_ens,0.05,20,0.7,0.9,0.17250537708819472,0.15806480622588787,0.012019248627415768,-0.08014672631944897,0.1499655591609497,0.07548565229818047,0.005410597311256253,0.22893630448369728,-0.34449760440332344
bt20_ens,0.02,20,0.8,0.9,0.15638772175003557,0.15097163852711246,0.011261473756384754,-0.0810919016208973,0.13887297660168182,0.07542193128016839,0.0055339787417234805,0.26484990066703595,-0.35620651703268424
bt20_ens,0.02,20,1.0,0.7,0.13681478745680273,0.1409535880045141,0.010075445506376512,-0.08088186266501995,0.12456989953489256,0.07542193128016839,0.005505569430228353,0.26423053605004376,-0.3532224173739854
bt20_ens,0.05,20,0.7,0.8,0.127313865235014,0.1346585084833608,0.009278980127597647,-0.07941158997387798,0.11684667352271776,0.07548565229818047,0.005311164721023306,0.2173320088091589,-0.33435246641649863
bt20_ens,0.05,20,0.8,0.7,0.127313865235014,0.1346585084833608,0.009278980127597647,-0.07941158997387798,0.11684667352271776,0.07548565229818047,0.005311164721023306,0.2173320088091589,-0.33435246641649863
bt20_ens,0.05,30,1.0,0.9,0.10018734853502786,0.17310997408885426,0.014221605715424968,-0.07774479285696101,0.18292679410170443,0.11561770922518218,0.00846436434229895,0.26070424838371675,-0.3785008137902628
bt20_ens,0.05,20,0.7,0.7,0.08046623014201304,0.11042414912092362,0.0065276049537996705,-0.078676453628307,0.08296770701737761,0.07548565229818047,0.00521173213079036,0.20392294234380276,-0.32438479083407734
bt20_ens,0.02,20,0.8,0.8,0.0765900765050803,0.11014648240070711,0.006514995691898617,-0.0802517457973877,0.08118198086739553,0.07542193128016839,0.0054203414957429705,0.2619089423455334,-0.34436437096229977
bt20_ens,0.02,20,0.7,0.9,0.06633710899825807,0.10490420695930505,0.005921241870152194,-0.08014672631944897,0.07388002158130948,0.07542193128016839,0.005406136839995407,0.2614469326998458,-0.34290176279231266
bt20_ens,0.02,30,1.0,0.9,0.05841734243225949,0.1521485058158556,0.01163608916179748,-0.07774479285696101,0.14967033461914517,0.1155539882071701,0.008459903871038104,0.2870261822703992,-0.358811549368407
bt20_ens,0.05,30,1.0,0.8,0.04224201424183427,0.14144387848961942,0.010262047316079048,-0.0772765380072219,0.13279641636016362,0.11561770922518218,0.008183315125791669,0.24901579202944937,-0.36350500982068823
bt20_ens,0.05,30,0.8,0.9,-0.006595549915003884,0.11487035364908989,0.0070822768826541704,-0.07690193412743085,0.0920949123453571,0.11561770922518218,0.007958475752585844,0.2377373105205622,-0.35184573680934883
bt20_ens,0.02,20,0.7,0.8,-0.00709294020422746,0.06737864054212557,0.0017621932216234093,-0.07941158997387798,0.022190630136017592,0.07542193128016839,0.0053067042497624605,0.252554915938912,-0.332773209933347
bt20_ens,0.02,20,0.8,0.7,-0.00709294020422746,0.06737864054212557,0.0017621932216234093,-0.07941158997387798,0.022190630136017592,0.07542193128016839,0.0053067042497624605,0.252554915938912,-0.332773209933347
bt20_ens,0.05,30,1.0,0.7,-0.01913735043242376,0.10806076769985232,0.006285639095960249,-0.076808283157483,0.081835432814877,0.11561770922518218,0.007902265909284386,0.23460936551214726,-0.3489774518976385
bt20_ens,0.02,30,1.0,0.8,-0.0317174258280955,0.10438769323304006,0.005863300892134715,-0.0772765380072219,0.07587426977625161,0.1155539882071701,0.008178854654530823,0.28335625631260264,-0.34541088893083727
