feature,ic_with_prediction,rank_ic_with_prediction,ic_with_target,rank_ic_with_target,n_dates
volatility_60d,-0.269970671980634,-0.28268318563416217,-0.02464942505845888,-0.05086311013886502,2100
total_liabilities,0.15798846782916123,0.09396314773104099,0.01110867722933698,0.04329043257384698,2100
equity,0.25086571379293987,0.12021532396120738,0.013089970037380196,0.042749366883774,2100
volatility_20d,-0.3091142655851046,-0.3448545533711376,-0.01252464005085494,-0.0408111154051657,2100
volatility,-0.3091142655851046,-0.3448545533711376,-0.01252464005085494,-0.0408111154051657,2100
price_momentum_60d,-0.38491085287377375,-0.44335541704553627,-0.022467637865726642,-0.039493545196122165,2100
price_momentum,-0.4081200911841502,-0.5132538012364953,-0.017837880434870067,-0.036027537782210475,2100
price_momentum_20d,-0.4081200911841502,-0.5132538012364953,-0.017837880434870067,-0.036027537782210475,2100
momentum_rank,-0.40794991404064884,-0.5132538012364953,-0.018230052881982442,-0.036027537782210475,2100
momentum_3m,-0.37451464347371294,-0.409264994015434,-0.02090009485682975,-0.03395141397543968,2070
downside_volatility_60d,-0.07681298918281988,-0.07771939228401487,-0.011565691632820603,-0.030176354377116535,2100
momentum_6m,-0.36356388434687137,-0.375043780705909,-0.01351182444267764,-0.02713858603193495,1980
net_income,0.19393270952196043,0.05486067868798407,0.008919407862604187,0.02705290931215668,2100
close,-0.1524109510509641,-0.16047315442577845,-0.014978820934500429,-0.019822852854314163,2100
high,-0.1507962754951527,-0.15776203970982067,-0.01476789421711302,-0.019065338525691044,2100
open,-0.14817119029577192,-0.15425141467646217,-0.01465300086444345,-0.01852769918602191,2100
low,-0.14647132661187892,-0.15301857775113636,-0.014593282217078342,-0.018217672066060793,2100
volume,0.0641814986333216,-0.019714351535547982,0.006328147497259815,0.01576124076589117,2100
max_drawdown_60d,-0.055599491174560985,-0.10001735745442923,0.007116452594146102,0.011954542644051906,2100
debt_ratio,-0.03725630710383955,-0.024135168300053886,0.004139127066214248,0.011399658705698382,2100
ret_daily,-0.1491440468224827,-0.13346076328153156,-0.009029763894242055,-0.010741313770311189,2100
momentum_reversal,-0.06347866047103856,-0.2765622446180386,-0.011101116877799294,-0.006640142641815997,2100
volume_ratio,-0.16192204257375828,-0.12199788101177933,-0.006511890877463432,-0.0029290475330734224,2100
debt_ratio_sector_z,-0.07222531968290694,-0.04928851494739137,0.004792809037728769,0.001614181513705436,2100
turnover,0.02396804370329251,-0.14780345239510884,0.0026779847669417883,-0.001513545635724317,2100
roe,-0.07838831758556082,-0.0566520983363653,-0.006521492983539087,-0.0013631747492841941,2100
roe_sector_z,-0.07361954696408998,-0.062478862573836044,-0.008858706370296177,-0.0005106873087964901,2100
in_universe,0.0,1.1648177644506149e-16,0.0,1.1536516694383528e-16,0
