alpha,alpha_short,alpha_long,optimization_score
"short=0.10,long=0.30",0.1,0.3,2.6816767123706673
"short=0.10,long=0.10",0.1,0.1,2.6816767123706673
"short=0.10,long=10.00",0.1,10.0,2.8556248216519236
"short=0.10,long=1.00",0.1,1.0,2.715846921048588
"short=0.10,long=3.00",0.1,3.0,2.8556248216519236
"short=1.00,long=0.30",1.0,0.3,2.715846921048588
"short=1.00,long=0.10",1.0,0.1,2.715846921048588
"short=1.00,long=10.00",1.0,10.0,2.8556248216519236
"short=1.00,long=1.00",1.0,1.0,2.8556248216519236
"short=1.00,long=3.00",1.0,3.0,2.8556248216519236
"short=0.30,long=0.30",0.3,0.3,2.715846921048588
"short=0.30,long=0.10",0.3,0.1,2.6816767123706673
"short=0.30,long=10.00",0.3,10.0,2.8556248216519236
"short=0.30,long=1.00",0.3,1.0,2.715846921048588
"short=0.30,long=3.00",0.3,3.0,2.8556248216519236
"short=3.00,long=0.30",3.0,0.3,2.8556248216519236
"short=3.00,long=0.10",3.0,0.1,2.8556248216519236
"short=3.00,long=10.00",3.0,10.0,2.8556248216519236
"short=3.00,long=1.00",3.0,1.0,2.8556248216519236
"short=3.00,long=3.00",3.0,3.0,2.8556248216519236
"short=10.00,long=0.30",10.0,0.3,2.8556248216519236
"short=10.00,long=0.10",10.0,0.1,2.8556248216519236
"short=10.00,long=10.00",10.0,10.0,2.7397529157641225
"short=10.00,long=1.00",10.0,1.0,2.8556248216519236
"short=10.00,long=3.00",10.0,3.0,2.8556248216519236
