ranking,ticker,date,score_short,score_long,score_ens,top1_feature_group,top2_feature_group,top3_feature_group,top1_features,top2_features,top3_features,original_ranking
1,34730,2023-01-02,0.06013581,0.07187388884429272,0.06600484942214635,technical,esg,value,"volatility_60d, volatility_20d, volatility","esg_score, environmental_score, social_score","turnover, net_income, roe",2
2,5380,2023-01-02,0.055441126,0.04580533327051454,0.05062322963525727,technical,esg,value,"volatility_60d, volatility_20d, volatility","esg_score, environmental_score, social_score","turnover, net_income, roe",3
3,35250,2023-01-02,0.02342582,0.04255628129657101,0.0329910506482855,technical,esg,value,"volatility_60d, volatility_20d, volatility","esg_score, environmental_score, social_score","turnover, net_income, roe",15
4,3240,2023-01-02,0.03572828,0.03554335985268043,0.03563581992634021,technical,esg,value,"volatility_60d, volatility_20d, volatility","esg_score, environmental_score, social_score","turnover, net_income, roe",4
5,137310,2023-01-02,0.029152991,0.0333590018978878,0.0312559964489439,technical,esg,value,"volatility_60d, volatility_20d, volatility","esg_score, environmental_score, social_score","turnover, net_income, roe",14
6,241560,2023-01-02,0.027684245,0.03149328941488869,0.02958876720744434,technical,esg,value,"volatility_60d, volatility_20d, volatility","esg_score, environmental_score, social_score","turnover, net_income, roe",13
7,4370,2023-01-02,0.030708402,0.031145567274539748,0.030926984637269873,technical,esg,value,"volatility_60d, volatility_20d, volatility","esg_score, environmental_score, social_score","turnover, net_income, roe",12
8,12330,2023-01-02,0.036183942,0.030349003929783975,0.033266472964891984,technical,esg,value,"volatility_60d, volatility_20d, volatility","esg_score, environmental_score, social_score","turnover, net_income, roe",9
9,1040,2023-01-02,0.036903758,0.030335866376732433,0.03361981218836622,technical,esg,value,"volatility_60d, volatility_20d, volatility","esg_score, environmental_score, social_score","turnover, net_income, roe",7
10,17670,2023-01-02,0.038302373,0.030261197920039968,0.03428178546001998,technical,esg,value,"volatility_60d, volatility_20d, volatility","esg_score, environmental_score, social_score","turnover, net_income, roe",6
11,29780,2023-01-02,0.026760895,0.03014866627538281,0.028454780637691406,technical,esg,value,"volatility_60d, volatility_20d, volatility","esg_score, environmental_score, social_score","turnover, net_income, roe",19
12,28260,2023-01-02,0.03299725,0.030100283002008163,0.03154876650100408,technical,esg,value,"volatility_60d, volatility_20d, volatility","esg_score, environmental_score, social_score","turnover, net_income, roe",8
13,32640,2023-01-02,0.029323105,0.02807830434216396,0.02870070467108198,technical,esg,value,"volatility_60d, volatility_20d, volatility","esg_score, environmental_score, social_score","turnover, net_income, roe",11
14,30200,2023-01-02,0.032616105,0.027022656655014375,0.029819380827507187,technical,esg,value,"volatility_60d, volatility_20d, volatility","esg_score, environmental_score, social_score","turnover, net_income, roe",17
15,97950,2023-01-02,0.04480117,0.022974051693398848,0.033887610846699424,technical,esg,value,"volatility_60d, volatility_20d, volatility","esg_score, environmental_score, social_score","turnover, net_income, roe",5
16,30000,2023-01-02,0.03951431,0.020935697161981986,0.03022500358099099,technical,esg,value,"volatility_60d, volatility_20d, volatility","esg_score, environmental_score, social_score","turnover, net_income, roe",10
17,240,2023-01-02,0.030323807,0.020335997995664018,0.02532990249783201,technical,esg,value,"volatility_60d, volatility_20d, volatility","esg_score, environmental_score, social_score","turnover, net_income, roe",20
