ranking,ticker_formatted,company_name,date,score_short,score_long,score_ens,top1_feature_group,top2_feature_group,top3_feature_group,top1_features,top2_features,top3_features,original_ranking
1,034730,SK,2023-01-02,0.06013581,0.0718738888442927,0.0660048494221463,value,esg,technical,,,,2
2,005380,현대차,2023-01-02,0.055441126,0.0458053332705145,0.0506232296352572,value,esg,profitability,,,,3
3,035250,Unknown,2023-01-02,0.02342582,0.042556281296571,0.0329910506482855,technical,value,news,,,,15
4,003240,태광산업,2023-01-02,0.03572828,0.0355433598526804,0.0356358199263402,technical,value,news,,,,4
5,137310,에스디바이오센서,2023-01-02,0.029152991,0.0333590018978878,0.0312559964489439,profitability,value,technical,,,,14
6,241560,두산밥캣,2023-01-02,0.027684245,0.0314932894148886,0.0295887672074443,technical,profitability,value,,,,13
7,004370,Unknown,2023-01-02,0.030708402,0.0311455672745397,0.0309269846372698,value,profitability,technical,,,,12
8,012330,현대모비스,2023-01-02,0.036183942,0.0303490039297839,0.0332664729648919,profitability,technical,esg,,,,9
9,001040,Unknown,2023-01-02,0.036903758,0.0303358663767324,0.0336198121883662,esg,technical,value,,,,7
10,017670,Unknown,2023-01-02,0.038302373,0.0302611979200399,0.0342817854600199,technical,value,profitability,,,,6
11,029780,Unknown,2023-01-02,0.026760895,0.0301486662753828,0.0284547806376914,technical,esg,news,,,,19
12,028260,Unknown,2023-01-02,0.03299725,0.0301002830020081,0.031548766501004,technical,profitability,news,,,,8
13,032640,Unknown,2023-01-02,0.029323105,0.0280783043421639,0.0287007046710819,esg,technical,news,,,,11
14,030200,Unknown,2023-01-02,0.032616105,0.0270226566550143,0.0298193808275071,technical,news,value,,,,17
15,097950,Unknown,2023-01-02,0.04480117,0.0229740516933988,0.0338876108466994,technical,value,profitability,,,,5
16,030000,Unknown,2023-01-02,0.03951431,0.0209356971619819,0.0302250035809909,technical,value,profitability,,,,10
17,000240,Unknown,2023-01-02,0.030323807,0.020335997995664,0.025329902497832,value,technical,profitability,,,,20
18,000100,Unknown,2023-01-02,0.031369563,0.0198325321850289,0.0256010475925144,value,esg,news,,,,18
19,036460,Unknown,2023-01-02,0.04110856,0.0195463033994232,0.0303274316997116,value,technical,profitability,,,,16
20,015760,Unknown,2023-01-02,0.16703428,-0.0202050515663938,0.073414614216803,profitability,value,technical,,,,1
1,034730,SK,2023-01-03,0.06013581,0.0784411550656771,0.0692884825328385,value,technical,profitability,,,,2
2,005380,현대차,2023-01-03,0.055441126,0.039010852401566,0.047225989200783,value,esg,profitability,,,,3
3,035250,Unknown,2023-01-03,0.02342582,0.0378568505861022,0.0306413352930511,technical,value,news,,,,15
4,012330,현대모비스,2023-01-03,0.036183942,0.0326423457983,0.03441314389915,profitability,value,technical,,,,9
5,028260,Unknown,2023-01-03,0.03299725,0.0324820196955915,0.0327396348477957,esg,technical,profitability,,,,8
6,137310,에스디바이오센서,2023-01-03,0.029152991,0.0322737516812955,0.0307133713406477,profitability,value,technical,,,,14
7,032640,Unknown,2023-01-03,0.029323105,0.0305161168165789,0.0299196109082894,technical,profitability,value,,,,11
