ranking,ticker,date,score_short,score_long,score_ens,top1_feature_group,top2_feature_group,top3_feature_group,top1_features,top2_features,top3_features,original_ranking
1,15760,2023-01-02,0.14651428404553554,-0.022692742,0.06191077102276777,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",1
2,34730,2023-01-02,0.06051575127672882,0.07036185,0.06543880063836441,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",2
3,5380,2023-01-02,0.05956901745736278,0.04199804,0.05078352872868139,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",3
4,36460,2023-01-02,0.04354901699310045,0.018176904,0.030862960496550226,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",16
5,12330,2023-01-02,0.039042649895632074,0.027709099,0.033375874447816034,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",9
6,1040,2023-01-02,0.03827465325145936,0.028814899,0.03354477612572968,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",7
7,97950,2023-01-02,0.038264042785370274,0.026499487,0.032381764892685135,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",5
8,17670,2023-01-02,0.035970795252313274,0.031744108,0.03385745162615664,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",6
9,3240,2023-01-02,0.0346735226735806,0.03608062,0.0353770713367903,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",4
10,30200,2023-01-02,0.03430630650488109,0.025309732,0.029808019252440546,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",17
11,30000,2023-01-02,0.03390835750995534,0.024034575,0.028971466254977672,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",10
12,4370,2023-01-02,0.03099725614592444,0.03039706,0.030697158072962222,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",12
13,28260,2023-01-02,0.030504965203998792,0.032075923,0.031290444101999396,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",8
14,137310,2023-01-02,0.030270086949912862,0.03165074,0.030960413474956427,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",14
15,35250,2023-01-02,0.026729606083996618,0.03674238,0.03173599304199831,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",15
16,241560,2023-01-02,0.025767399356897227,0.033333544,0.02955047167844861,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",13
17,29780,2023-01-02,0.025655672098012415,0.030980378,0.028318025049006205,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",19
18,32640,2023-01-02,0.025499779153618816,0.03180869,0.028654234576809406,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",11
19,100,2023-01-02,0.02311234425761961,0.026518198,0.024815271128809803,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",18
20,240,2023-01-02,0.02311205197741692,0.026285248,0.02469864998870846,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",20
1,15760,2023-01-03,0.16701828672464789,-0.022692742,0.07216277236232395,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",1
2,34730,2023-01-03,0.06770484761660803,0.07036185,0.06903334880830402,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",2
3,5380,2023-01-03,0.052007781523901474,0.04199804,0.047002910761950734,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",3
4,12330,2023-01-03,0.04304817107092307,0.027709099,0.035378635035461535,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",9
5,30000,2023-01-03,0.04249493278492851,0.024034575,0.033264753892464256,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",10
6,97950,2023-01-03,0.04098212386757736,0.026499487,0.03374080543378868,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",5
7,1040,2023-01-03,0.038913967813987066,0.028814899,0.033864433406993535,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",7
8,36460,2023-01-03,0.03756721436503287,0.018176904,0.027872059182516434,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",16
9,17670,2023-01-03,0.0364801252191923,0.031744108,0.03411211660959615,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",6
10,100,2023-01-03,0.03555108340801173,0.026518198,0.031034640704005866,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",18
11,28260,2023-01-03,0.03374593609031418,0.032075923,0.03291092954515709,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",8
12,137310,2023-01-03,0.030021236292716382,0.03165074,0.03083598814635819,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",14
13,32640,2023-01-03,0.028410135825120513,0.03180869,0.03010941291256026,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",11
14,3240,2023-01-03,0.02719761752415855,0.03608062,0.031639118762079275,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",4
15,30200,2023-01-03,0.02706111479884337,0.025309732,0.026185423399421686,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",17
16,4370,2023-01-03,0.026899162353470254,0.03039706,0.028648111176735127,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",12
17,240,2023-01-03,0.02686752204939745,0.026285248,0.026576385024698723,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe",20
