ranking,ticker,date,score_short,score_long,score_ens,top1_feature_group,top2_feature_group,top3_feature_group,top1_features,top2_features,top3_features
1,15760,2023-01-31,0.16703428,-0.022611988016190104,0.07221114599190495,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
2,34730,2023-01-31,0.06013581,0.05609441441576452,0.058115112207882264,technical,value,esg,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","esg_score, environmental_score, social_score"
3,5380,2023-01-31,0.055441126,0.03664992712875627,0.04604552656437813,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
4,3240,2023-01-31,0.03572828,0.035439581386642015,0.03558393069332101,technical,esg,value,"volatility_60d, volatility_20d, volatility","esg_score, environmental_score, social_score","turnover, net_income, roe"
5,97950,2023-01-31,0.04480117,0.03062368314153759,0.037712426570768794,technical,news,esg,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","esg_score, environmental_score, social_score"
6,17670,2023-01-31,0.038302373,0.034088814308751395,0.0361955936543757,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
7,1040,2023-01-31,0.036903758,0.0302881416990653,0.03359594984953265,technical,value,esg,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","esg_score, environmental_score, social_score"
8,28260,2023-01-31,0.03299725,0.03575814404583932,0.03437769702291966,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
9,12330,2023-01-31,0.036183942,0.030407728265305915,0.033295835132652954,technical,news,esg,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","esg_score, environmental_score, social_score"
10,30000,2023-01-31,0.03951431,0.025970845048256936,0.032742577524128465,technical,news,value,"volatility_60d, volatility_20d, volatility","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise","turnover, net_income, roe"
11,32640,2023-01-31,0.029323105,0.03075969886288675,0.030041401931443376,technical,value,esg,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","esg_score, environmental_score, social_score"
12,4370,2023-01-31,0.030708402,0.0297132818847487,0.030210841942374347,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
13,241560,2023-01-31,0.027684245,0.03593816571915028,0.03181120535957514,technical,value,news,"volatility_60d, volatility_20d, volatility","turnover, net_income, roe","news_sentiment, news_sentiment_ewm5, news_sentiment_surprise"
