일자,ticker,pred_label,ESG_Label
20160303,049770,1,Governance
20160415,049770,0,Social
20160629,049770,0,Social
20160630,049770,0,Social
20160912,049770,-1,Social
20161205,049770,0,Social
20161205,049770,0,Social
20161205,049770,0,Social
20161206,049770,0,Governance
20170209,049770,0,Governance
20170209,049770,0,Governance
20170209,049770,0,Governance
20170321,049770,0,Environmental
20170331,049770,1,Governance
20170714,049770,-1,Social
20170810,049770,0,Social
20170810,049770,0,Social
20171206,049770,0,Social
20171213,049770,0,Social
20180207,049770,0,Governance
20180207,049770,0,Governance
20180207,049770,0,Governance
20180221,049770,-1,Social
20180226,049770,0,Social
20180305,049770,0,Social
20180305,049770,0,Social
20180305,049770,0,Environmental
20180313,049770,0,Environmental
20180426,049770,0,Environmental
20180501,049770,0,Environmental
20180517,049770,0,Environmental
20180525,049770,-1,Social
20180625,049770,0,Environmental
20180711,049770,-1,Governance
20180711,049770,0,Environmental
20180712,049770,1,Social
20180713,049770,-1,Social
20180719,049770,0,Environmental
20180809,049770,0,Environmental
20180823,049770,0,Social
20180823,049770,0,Environmental
20180823,049770,0,Environmental
20180823,049770,0,Environmental
20180913,049770,0,Environmental
20180921,049770,0,Environmental
20181001,049770,0,Environmental
20181018,049770,0,Social
20181025,049770,0,Environmental
20181105,049770,0,Environmental
20181106,049770,0,Social
20181218,049770,0,Environmental
20190102,049770,-1,Social
20190130,049770,0,Environmental
20190208,049770,0,Environmental
20190208,049770,0,Governance
20190208,049770,0,Governance
20190211,049770,1,Social
20190325,049770,0,Governance
20190325,049770,1,Governance
20190526,049770,0,Governance
20190529,049770,-1,Social
20190722,049770,0,Environmental
20190927,049770,0,Social
20190930,049770,0,Social
20191104,049770,0,Environmental
20191104,049770,0,Environmental
20191205,049770,0,Environmental
20191210,049770,0,Social
20191218,049770,0,Social
20191218,049770,0,Social
20191218,049770,0,Social
20200102,049770,0,Environmental
20200102,049770,0,Environmental
20200102,049770,0,Environmental
20200102,049770,0,Environmental
20200102,049770,0,Environmental
20200102,049770,0,Environmental
20200109,049770,0,Environmental
20200109,049770,0,Environmental
20200109,049770,0,Environmental
20200109,049770,0,Environmental
20200109,049770,0,Environmental
20200114,049770,0,Environmental
20200116,049770,0,Environmental
20200117,049770,0,Environmental
20200210,049770,0,Governance
20200225,049770,1,Social
20200324,049770,0,Environmental
20200325,049770,0,Environmental
20200326,049770,0,Social
20200326,049770,1,Governance
20200326,049770,1,Governance
20200330,049770,0,Social
20200330,049770,0,Social
20200406,049770,0,Environmental
20200416,049770,1,Environmental
20200428,049770,0,Environmental
20200512,049770,0,Environmental
20200518,049770,0,Environmental
20200519,049770,0,Environmental
20200520,049770,1,Environmental
20200622,049770,0,Environmental
20200707,049770,0,Environmental
20200715,049770,0,Social
20200921,049770,1,Environmental
20201104,049770,1,Environmental
20201210,049770,0,Social
20210118,049770,0,Environmental
20210201,049770,0,Environmental
20210210,049770,1,Governance
20210210,049770,0,Governance
20210210,049770,0,Governance
20210210,049770,0,Governance
20210210,049770,0,Governance
20210217,049770,0,Environmental
20210324,049770,0,Environmental
20210506,049770,0,Environmental
20210506,049770,0,Environmental
20210506,049770,0,Environmental
20210506,049770,0,Environmental
20210524,049770,0,Social
20210603,049770,0,Environmental
20210615,049770,0,Environmental
20210616,049770,0,Environmental
20210616,049770,0,Environmental
20210616,049770,0,Environmental
20210616,049770,0,Environmental
20210616,049770,0,Environmental
20210616,049770,0,Environmental
20210616,049770,0,Environmental
20210616,049770,0,Environmental
20210616,049770,0,Environmental
20210616,049770,0,Environmental
20210616,049770,0,Environmental
20210708,049770,0,Environmental
20210708,049770,0,Environmental
20210708,049770,0,Environmental
20210728,049770,0,Environmental
20210826,049770,0,Environmental
20210826,049770,0,Environmental
20210830,049770,0,Environmental
20210909,049770,0,Environmental
20210924,049770,0,Environmental
20210928,049770,0,Environmental
20211001,049770,0,Environmental
20211103,049770,0,Social
20211104,049770,0,Social
20211224,049770,0,Environmental
20220106,049770,0,Environmental
20220110,049770,0,Environmental
20220110,049770,0,Environmental
20220110,049770,0,Environmental
20220110,049770,0,Environmental
20220120,049770,0,Environmental
20220124,049770,0,Environmental
20220126,049770,0,Environmental
20220210,049770,0,Governance
20220214,049770,0,Social
20220225,049770,0,Environmental
20220225,049770,0,Environmental
20220225,049770,0,Social
20220225,049770,0,Environmental
20220225,049770,0,Environmental
20220316,049770,0,Social
20220316,049770,0,Social
20220316,049770,0,Social
20220320,049770,0,Environmental
20220323,049770,0,Social
20220323,049770,0,Social
20220323,049770,0,Social
20220328,049770,0,Environmental
20220414,049770,0,Social
20220414,049770,0,Social
20220418,049770,0,Environmental
20220418,049770,0,Social
20220501,049770,0,Social
20220610,049770,0,Environmental
20220714,049770,-1,Social
20220715,049770,0,Social
20220725,049770,0,Environmental
20220725,049770,0,Environmental
20220725,049770,0,Environmental
20220823,049770,0,Environmental
20220831,049770,0,Environmental
20220922,049770,0,Social
20220923,049770,0,Social
20220927,049770,0,Social
20220928,049770,0,Social
20221014,049770,0,Environmental
20221014,049770,0,Environmental
20221116,049770,0,Environmental
20221116,049770,0,Environmental
20221116,049770,0,Environmental
20221116,049770,0,Environmental
20221116,049770,0,Environmental
20221116,049770,0,Environmental
20221116,049770,0,Environmental
20221116,049770,-1,Social
20221229,049770,0,Social
