date,ranking_type,rank,ticker,total_score,top1_feature,top1_impact,top1_contribution,top2_feature,top2_impact,top2_contribution,top3_feature,top3_impact,top3_contribution
2023-01-31,long,1,000880,10007676760176.23,total_liabilities,9895417844000.0,9895417844000.0,net_income,112166850000.0,112166850000.0,turnover,92066126.0,92066126.0
2023-01-31,long,2,015760,8804993592212.848,total_liabilities,10025846376000.0,10025846376000.0,net_income,1221455400000.0,-1221455400000.0,turnover,602616192.0,602616192.0
2023-01-31,long,3,005380,8759418871271.732,total_liabilities,8571987684000.0,8571987684000.0,net_income,185097900000.0,185097900000.0,turnover,2333287260.0,2333287260.0
2023-01-31,long,4,005930,7690089817824.9,total_liabilities,4871094956000.0,4871094956000.0,net_income,2782703850000.0,2782703850000.0,turnover,36291011820.0,36291011820.0
2023-01-31,long,5,034730,6579216176402.907,total_liabilities,6380247640000.0,6380247640000.0,net_income,198308800000.0,198308800000.0,turnover,659736392.0,659736392.0
2023-01-31,long,6,036460,2779916606136.102,total_liabilities,2704740624768.676,2704740624768.676,net_income,74850400629.1,74850400629.1,turnover,325580709.0,325580709.0
2023-01-31,long,7,096770,2382745094116.7656,total_liabilities,2286783870540.0,2286783870540.0,net_income,94758956350.0,94758956350.0,turnover,1202267214.3600001,1202267214.3600001
2023-01-31,long,8,267250,2311972808420.3516,total_liabilities,2199974245924.0,2199974245924.0,net_income,111747750650.0,111747750650.0,turnover,250811834.0,250811834.0
2023-01-31,long,9,005490,2268840475773.6797,total_liabilities,2087767762392.208,2087767762392.208,net_income,178024176934.75,178024176934.75,turnover,3048536440.0,3048536440.0
2023-01-31,long,10,000660,2231471495766.1377,total_liabilities,2110210440000.0,2110210440000.0,net_income,112083450000.0,112083450000.0,turnover,9177605760.0,9177605760.0
2023-01-31,long,11,000270,2060168145760.1958,total_liabilities,1787129968000.0,1787129968000.0,net_income,270448800000.0,270448800000.0,turnover,2589377752.0,2589377752.0
2023-01-31,long,12,066570,1793975795886.8984,total_liabilities,1698535488000.0,1698535488000.0,net_income,93156150000.0,93156150000.0,turnover,2284157876.0,2284157876.0
2023-01-31,long,13,051910,1699680053607.3225,total_liabilities,1585620192000.0,1585620192000.0,net_income,109775900000.0,109775900000.0,turnover,4283961600.0,4283961600.0
2023-01-31,long,14,001040,1620783281995.091,total_liabilities,1586352290588.0,1586352290588.0,net_income,34342284500.0,34342284500.0,turnover,88706896.0,88706896.0
2023-01-31,long,15,028260,1532847495956.697,total_liabilities,1404903296494.5159,1404903296494.5159,net_income,127247848425.45001,127247848425.45001,turnover,696351030.0,696351030.0
2023-01-31,long,16,030200,1243368803629.5837,total_liabilities,1173429816000.0,1173429816000.0,net_income,69383150000.0,69383150000.0,turnover,555837621.0,555837621.0
2023-01-31,long,17,003490,1111821978012.1208,total_liabilities,1024672522414.268,1024672522414.268,net_income,86475142623.15001,86475142623.15001,turnover,674312960.0,674312960.0
2023-01-31,long,18,034220,1107739600684.7505,total_liabilities,1267073184000.0,1267073184000.0,net_income,159779250000.0,-159779250000.0,turnover,445666674.18,445666674.18
2023-01-31,long,19,139480,1075969101063.1246,total_liabilities,1025354698733.3519,1025354698733.3519,net_income,50386277258.700005,50386277258.700005,turnover,228125060.0,228125060.0
2023-01-31,long,20,023530,1058929158087.0958,total_liabilities,1074759872527.536,1074759872527.536,net_income,15934622051.650002,-15934622051.650002,turnover,103907600.0,103907600.0
2023-01-31,short,1,005930,14235272166414.941,equity,12416236140000.002,12416236140000.002,net_income,1780930464000.0,1780930464000.0,turnover,38105562411.0,38105562411.0
2023-01-31,short,2,005380,3302291682626.013,equity,3181379075000.0005,3181379075000.0005,net_income,118462656000.0,118462656000.0,turnover,2449951623.0,2449951623.0
2023-01-31,short,3,034730,2640918005213.8276,equity,2513307650000.0,2513307650000.0,net_income,126917632000.0,126917632000.0,turnover,692723211.6,692723211.6
2023-01-31,short,4,000660,2296538864050.915,equity,2215168970000.0,2215168970000.0,net_income,71733408000.0,71733408000.0,turnover,9636486048.0,9636486048.0
2023-01-31,short,5,005490,2156145457127.589,equity,2039009020623.7502,2039009020623.7502,net_income,113935473238.24,113935473238.24,turnover,3200963262.0,3200963262.0
