date,ranking_type,rank,ticker,top1_feature,top2_feature,top3_feature
2023-01-31,long,1,880,total_liabilities,net_income,turnover
2023-01-31,long,2,15760,total_liabilities,net_income,turnover
2023-01-31,long,3,5380,total_liabilities,net_income,turnover
2023-01-31,long,4,5930,total_liabilities,net_income,turnover
2023-01-31,long,5,34730,total_liabilities,net_income,turnover
2023-01-31,long,6,36460,total_liabilities,net_income,turnover
2023-01-31,long,7,96770,total_liabilities,net_income,turnover
2023-01-31,long,8,267250,total_liabilities,net_income,turnover
2023-01-31,long,9,5490,total_liabilities,net_income,turnover
2023-01-31,long,10,660,total_liabilities,net_income,turnover
2023-01-31,long,11,270,total_liabilities,net_income,turnover
2023-01-31,long,12,66570,total_liabilities,net_income,turnover
2023-01-31,long,13,51910,total_liabilities,net_income,turnover
2023-01-31,long,14,1040,total_liabilities,net_income,turnover
2023-01-31,long,15,28260,total_liabilities,net_income,turnover
2023-01-31,long,16,30200,total_liabilities,net_income,turnover
2023-01-31,long,17,3490,total_liabilities,net_income,turnover
2023-01-31,long,18,34220,total_liabilities,net_income,turnover
2023-01-31,long,19,139480,total_liabilities,net_income,turnover
2023-01-31,long,20,23530,total_liabilities,net_income,turnover
2023-02-01,long,1,880,total_liabilities,net_income,turnover
2023-02-01,long,2,15760,total_liabilities,net_income,turnover
2023-02-01,long,3,5380,total_liabilities,net_income,turnover
2023-02-01,long,4,5930,total_liabilities,net_income,turnover
2023-02-01,long,5,34730,total_liabilities,net_income,turnover
2023-02-01,long,6,36460,total_liabilities,net_income,turnover
2023-02-01,long,7,96770,total_liabilities,net_income,turnover
2023-02-01,long,8,267250,total_liabilities,net_income,turnover
2023-02-01,long,9,5490,total_liabilities,net_income,turnover
2023-02-01,long,10,660,total_liabilities,net_income,turnover
2023-02-01,long,11,270,total_liabilities,net_income,turnover
2023-02-01,long,12,66570,total_liabilities,net_income,turnover
2023-02-01,long,13,51910,total_liabilities,net_income,turnover
2023-02-01,long,14,1040,total_liabilities,net_income,turnover
2023-02-01,long,15,28260,total_liabilities,net_income,turnover
2023-02-01,long,16,30200,total_liabilities,net_income,turnover
2023-02-01,long,17,3490,total_liabilities,net_income,turnover
2023-02-01,long,18,34220,total_liabilities,net_income,turnover
2023-02-01,long,19,139480,total_liabilities,net_income,turnover
2023-02-01,long,20,23530,total_liabilities,net_income,turnover
2023-02-02,long,1,880,total_liabilities,net_income,turnover
2023-02-02,long,2,15760,total_liabilities,net_income,turnover
2023-02-02,long,3,5380,total_liabilities,net_income,turnover
2023-02-02,long,4,5930,total_liabilities,net_income,turnover
2023-02-02,long,5,34730,total_liabilities,net_income,turnover
2023-02-02,long,6,36460,total_liabilities,net_income,turnover
2023-02-02,long,7,96770,total_liabilities,net_income,turnover
2023-02-02,long,8,267250,total_liabilities,net_income,turnover
2023-02-02,long,9,5490,total_liabilities,net_income,turnover
2023-02-02,long,10,660,total_liabilities,net_income,turnover
2023-02-02,long,11,270,total_liabilities,net_income,turnover
2023-02-02,long,12,66570,total_liabilities,net_income,turnover
2023-02-02,long,13,51910,total_liabilities,net_income,turnover
2023-02-02,long,14,1040,total_liabilities,net_income,turnover
