final_rank,ticker,ranking_type,appearance_days,avg_rank,median_rank,min_rank,max_rank,rank_std,rank_consistency,top5_count,top5_ratio,top10_count,top10_ratio,top20_count,avg_score
1,105560,long,302,1.1026490066225165,1.0,1,2,0.3040036325774289,0.7668690293626327,302,1.0,302,1.0,302,34387340047803.574
2,55550,long,275,1.8872727272727272,2.0,1,2,0.3168357154801976,0.7593961708696061,275,1.0,275,1.0,275,33537121059047.477
3,86790,long,244,3.0,3.0,3,3,0.0,1.0,244,1.0,244,1.0,244,29148391985634.105
4,316140,long,275,3.887272727272727,4.0,3,4,0.31683571548019757,0.7593961708696061,275,1.0,275,1.0,275,24442765730776.71
5,24110,long,366,3.9945355191256833,5.0,1,5,1.594501743825858,0.3854304597712075,366,1.0,366,1.0,366,21797809291227.05
6,15760,long,470,5.110638297872341,7.0,2,8,2.2357088468754376,0.3090512921042479,226,0.4808510638297872,470,1.0,470,9713028388769.504
7,880,long,470,5.8,9.0,1,9,3.599099626804929,0.21743386339615275,195,0.4148936170212766,470,1.0,470,9620596192406.195
8,5380,long,470,5.9787234042553195,7.0,3,8,2.1169370972857737,0.32082777700929516,195,0.4148936170212766,470,1.0,470,9628629223013.674
9,32830,long,244,6.0,6.0,6,6,0.0,1.0,0,0.0,244,1.0,244,14158904177894.988
10,36460,long,196,7.530612244897959,7.0,6,20,1.2665647594578715,0.4411963063606376,0,0.0,195,0.9948979591836735,196,2777938365117.4497
11,34730,long,470,9.148936170212766,12.0,5,12,3.109094736608217,0.24336260517211467,104,0.22127659574468084,226,0.4808510638297872,470,6666378843888.145
12,5930,long,470,9.640425531914893,11.0,4,14,4.417988021195111,0.18457036008348685,168,0.3574468085106383,226,0.4808510638297872,470,6591008515946.675
13,267250,long,195,9.743589743589743,9.0,8,13,1.266498312336813,0.44120924094974356,0,0.0,142,0.7282051282051282,195,2311953745223.351
14,138930,long,275,9.887272727272727,10.0,8,11,0.7435990957023793,0.5735263355348134,0,0.0,244,0.8872727272727273,275,7096676219714.342
15,5490,long,195,10.687179487179487,10.0,9,14,1.259843609828831,0.44250849733612485,0,0.0,109,0.558974358974359,195,2278384570265.5986
16,96770,long,262,11.01526717557252,9.0,7,20,4.143008203968724,0.19443873319671673,0,0.0,168,0.6412213740458015,262,2563950962922.057
17,88350,long,244,11.254098360655737,11.0,11,13,0.6674251908244816,0.5997270555241738,0,0.0,0,0.0,244,6927624588986.401
18,138040,long,443,11.713318284424378,15.0,6,16,4.030593250441184,0.1987837120228911,0,0.0,168,0.3792325056433409,443,4898048316092.335
19,270,long,195,12.717948717948717,12.0,11,16,1.2507465389011039,0.44429702888190886,0,0.0,0,0.0,195,2059539439290.6782
20,6800,long,275,12.774545454545455,13.0,10,14,1.0394092549153657,0.4903380709829619,0,0.0,31,0.11272727272727273,275,6407854798562.046
21,660,long,226,12.853982300884956,12.0,10,20,3.0826982523823028,0.24493605409522692,0,0.0,27,0.11946902654867257,226,2389285623807.111
22,66570,long,195,13.717948717948717,13.0,12,17,1.2507465389011039,0.44429702888190886,0,0.0,0,0.0,195,1793459860746.2922
23,51910,long,195,14.717948717948717,14.0,13,18,1.2507465389011039,0.44429702888190886,0,0.0,0,0.0,195,1698993718939.4045
24,71050,long,275,15.549090909090909,16.0,13,16,0.9629775765163268,0.509430169739732,0,0.0,0,0.0,275,4655723904547.009
25,1040,long,195,15.717948717948717,15.0,14,19,1.2507465389011039,0.44429702888190886,0,0.0,0,0.0,195,1620981379320.9485
26,28260,long,195,16.71794871794872,16.0,15,20,1.2507465389011037,0.44429702888190886,0,0.0,0,0.0,195,1532660826712.3005
27,139130,long,244,17.0,17.0,17,17,0.0,1.0,0,0.0,0,0.0,244,4548674493257.391
28,16360,long,31,17.0,17.0,17,17,0.0,1.0,0,0.0,0,0.0,31,2621564065430.0063
29,30200,long,194,17.701030927835053,17.0,16,20,1.231410568687722,0.44814702145472646,0,0.0,0,0.0,194,1243416518559.2864
30,5830,long,287,17.714285714285715,20.0,9,20,3.973941090681616,0.20104781736829186,0,0.0,48,0.1672473867595819,287,2673738248695.3257
31,5940,long,31,18.0,18.0,18,18,0.0,1.0,0,0.0,0,0.0,31,2580123121669.035
32,810,long,244,18.0,18.0,18,18,0.0,1.0,0,0.0,0,0.0,244,3673930008989.363
33,3490,long,168,18.345238095238095,18.0,17,20,0.8956855684792396,0.5275136428886895,0,0.0,0,0.0,168,1111661055071.0713
34,175330,long,244,18.364754098360656,19.0,14,19,1.6685629770612045,0.3747335208484625,0,0.0,0,0.0,244,3061298342403.5337
35,323410,long,30,19.0,19.0,19,19,0.0,1.0,0,0.0,0,0.0,30,2533559742732.182
36,34220,long,147,19.108843537414966,19.0,18,20,0.6837572638734668,0.5939098357322065,0,0.0,0,0.0,147,1107772238922.4502
37,39490,long,32,19.6875,20.0,11,20,1.5951033943634116,0.38534110131103416,0,0.0,0,0.0,32,2473533242045.955
38,139480,long,104,19.740384615384617,20.0,19,20,0.44054671038706017,0.6941808917333269,0,0.0,0,0.0,104,1075995225659.5636
39,23530,long,27,20.0,20.0,20,20,0.0,1.0,0,0.0,0,0.0,27,1058923115281.5477
