final_rank,ticker,ranking_type,appearance_days,avg_rank,median_rank,min_rank,max_rank,rank_std,rank_consistency,top5_count,top5_ratio,top10_count,top10_ratio,top20_count,avg_score
1,5930,short,470,1.0,1.0,1,1,0.0,1.0,470,1.0,470,1.0,470,13782926858257.795
2,5380,short,470,2.0,2.0,2,2,0.0,1.0,470,1.0,470,1.0,470,3731989873653.2534
3,34730,short,470,3.0659574468085107,3.0,3,4,0.24847217220486692,0.8009790063914264,470,1.0,470,1.0,470,2689757284892.245
4,105560,short,302,4.2947019867549665,4.0,4,6,0.6438348645576443,0.608333611581538,271,0.8973509933774835,302,1.0,302,2208902191432.6914
5,5490,short,470,5.253191489361702,5.0,4,8,0.7683369085529377,0.5655030979466001,412,0.8765957446808511,470,1.0,470,2159457177263.1597
6,55550,short,275,6.112727272727272,6.0,6,7,0.31683571548019757,0.7593961708696061,0,0.0,275,1.0,275,2126404913890.61
7,660,short,470,6.45531914893617,8.0,3,9,2.5184020816875754,0.2842199318846348,226,0.4808510638297872,470,1.0,470,1994010768291.2876
8,270,short,470,6.51063829787234,7.0,5,7,0.6185594525976864,0.6178333445799985,31,0.06595744680851064,470,1.0,470,1787286814054.693
9,32830,short,244,8.528688524590164,8.0,8,12,1.3345660664468413,0.42834512776157074,0,0.0,213,0.8729508196721312,244,1617627335856.3572
10,12330,short,470,8.680851063829786,9.0,7,10,1.3573833943522582,0.4241991363796688,0,0.0,470,1.0,470,1493625569323.3516
11,51910,short,470,10.13404255319149,10.0,8,12,1.8135684523156008,0.3554205333717713,0,0.0,257,0.5468085106382978,470,1466195294462.4783
12,86790,short,244,11.0,11.0,11,11,0.0,1.0,0,0.0,0,0.0,244,1535148434137.767
13,28260,short,470,11.331914893617022,13.0,9,14,1.9471817021602276,0.3393072097546681,0,0.0,195,0.4148936170212766,470,1365783383093.9224
14,11200,short,227,11.920704845814978,11.0,10,20,3.2523461152230557,0.23516430057752846,0,0.0,104,0.4581497797356828,227,1052064492429.5
15,267250,short,226,13.623893805309734,13.0,12,20,2.6339923002092194,0.2751794493187086,0,0.0,0,0.0,226,879480492131.7063
16,316140,short,275,13.887272727272727,14.0,12,15,0.7435990957023793,0.5735263355348134,0,0.0,0,0.0,275,1265579520565.0342
17,24110,short,366,14.497267759562842,16.0,10,18,2.646008763670948,0.2742725168310237,0,0.0,64,0.17486338797814208,366,1199510753916.7095
18,66570,short,226,15.265486725663717,15.0,14,19,1.652030126790371,0.3770696229647488,0,0.0,0,0.0,226,850353505371.383
19,3550,short,439,15.501138952164009,16.0,11,20,3.6061051196015144,0.21710316504598415,0,0.0,0,0.0,439,989055076776.297
20,96770,short,470,15.838297872340426,16.0,12,19,2.1249410569012572,0.3200060358871589,0,0.0,0,0.0,470,1005744253360.2173
21,880,short,439,15.849658314350798,16.0,15,18,0.9557294767642442,0.5113181612696766,0,0.0,0,0.0,439,1031584201850.1241
22,35420,short,226,15.858407079646017,15.0,14,18,1.1024599293270836,0.475633321734727,0,0.0,0,0.0,226,851036269522.8733
23,15760,short,379,17.24538258575198,17.0,13,20,2.1070424993297254,0.3218494758973292,0,0.0,0,0.0,379,1060083547591.495
24,4020,short,195,18.605128205128207,18.0,18,20,0.7200904575009137,0.5813647739508309,0,0.0,0,0.0,195,703089990301.5327
25,373220,short,469,18.76545842217484,19.0,17,20,1.3092377459031286,0.43304332859365513,0,0.0,0,0.0,469,854502960822.8473
26,30200,short,168,19.392857142857142,19.0,19,20,0.4898455614583137,0.6712105105855163,0,0.0,0,0.0,168,689593777205.8466
