date,rank,ticker,top1_feature,top2_feature,top3_feature
2023-01-31,1,15760,score_short,score_ens,score_long
2023-01-31,2,34730,score_long,score_ens,score_short
2023-01-31,3,5380,score_short,score_ens,score_long
2023-01-31,4,3240,score_long,score_ens,score_short
2023-01-31,5,97950,score_short,score_ens,score_long
2023-01-31,6,17670,score_short,score_ens,score_long
2023-01-31,7,1040,score_short,score_ens,score_long
2023-01-31,8,28260,score_short,score_ens,score_long
2023-01-31,9,12330,score_short,score_ens,score_long
2023-01-31,10,30000,score_short,score_ens,score_long
2023-02-28,1,5930,score_long,score_ens,score_short
2023-02-28,2,15760,score_short,score_ens,score_long
2023-02-28,3,34730,score_short,score_ens,score_long
2023-02-28,4,5380,score_long,score_ens,score_short
2023-02-28,5,30200,score_short,score_ens,score_long
2023-02-28,6,35250,score_short,score_ens,score_long
2023-02-28,7,28260,score_short,score_ens,score_long
2023-02-28,8,9240,score_long,score_ens,score_short
2023-02-28,9,1440,score_short,score_ens,score_long
2023-02-28,10,69620,score_short,score_ens,score_long
2023-03-29,1,5930,score_long,score_ens,score_short
2023-03-29,2,34730,score_long,score_ens,score_short
2023-03-29,3,15760,score_short,score_ens,score_long
2023-03-29,4,5380,score_long,score_ens,score_short
2023-03-29,5,326030,score_long,score_ens,score_short
2023-03-29,6,69620,score_long,score_ens,score_short
2023-03-29,7,880,score_long,score_ens,score_short
2023-03-29,8,3090,score_short,score_ens,score_long
2023-03-29,9,4990,score_short,score_ens,score_long
2023-03-29,10,241590,score_ens,score_short,score_long
2023-04-26,1,5930,score_long,score_ens,score_short
2023-04-26,2,34730,score_long,score_ens,score_short
2023-04-26,3,15760,score_short,score_ens,score_long
2023-04-26,4,28260,score_long,score_ens,score_short
2023-04-26,5,241590,score_short,score_ens,score_long
2023-04-26,6,69960,score_short,score_ens,score_long
2023-04-26,7,210,score_short,score_ens,score_long
2023-04-26,8,17670,score_short,score_ens,score_long
2023-04-26,9,97950,score_short,score_ens,score_long
2023-04-26,10,31430,score_short,score_ens,score_long
2023-05-26,1,5380,score_long,score_ens,score_short
2023-05-26,2,5930,score_long,score_ens,score_short
2023-05-26,3,139480,score_short,score_ens,score_long
2023-05-26,4,15760,score_short,score_ens,score_long
2023-05-26,5,34730,score_long,score_ens,score_short
2023-05-26,6,3240,score_short,score_ens,score_long
2023-05-26,7,11200,score_long,score_ens,score_short
2023-05-26,8,210,score_short,score_ens,score_long
2023-05-26,9,30200,score_long,score_ens,score_short
2023-05-26,10,10130,score_short,score_ens,score_long
