date,ranking_type,rank,ticker,top1_feature,top2_feature,top3_feature
2023-01-31,short,1,5930,equity,net_income,turnover
2023-01-31,short,2,5380,equity,net_income,turnover
2023-01-31,short,3,34730,equity,net_income,turnover
2023-01-31,short,4,660,equity,net_income,turnover
2023-01-31,short,5,5490,equity,net_income,turnover
2023-01-31,short,6,270,equity,net_income,turnover
2023-01-31,short,7,12330,equity,net_income,turnover
2023-01-31,short,8,51910,equity,net_income,turnover
2023-01-31,short,9,28260,equity,net_income,turnover
2023-01-31,short,10,11200,equity,net_income,turnover
2023-01-31,short,11,3550,equity,net_income,turnover
2023-01-31,short,12,267250,equity,net_income,turnover
2023-01-31,short,13,96770,equity,net_income,turnover
2023-01-31,short,14,66570,equity,net_income,turnover
2023-01-31,short,15,35420,equity,net_income,turnover
2023-01-31,short,16,880,equity,net_income,turnover
2023-01-31,short,17,373220,equity,net_income,turnover
2023-01-31,short,18,4020,equity,net_income,turnover
2023-01-31,short,19,30200,equity,net_income,turnover
2023-01-31,short,20,15760,equity,net_income,turnover
2023-02-01,short,1,5930,equity,net_income,turnover
2023-02-01,short,2,5380,equity,net_income,turnover
2023-02-01,short,3,34730,equity,net_income,turnover
2023-02-01,short,4,660,equity,net_income,turnover
2023-02-01,short,5,5490,equity,net_income,turnover
2023-02-01,short,6,270,equity,net_income,turnover
2023-02-01,short,7,12330,equity,net_income,turnover
2023-02-01,short,8,51910,equity,net_income,turnover
2023-02-01,short,9,28260,equity,net_income,turnover
2023-02-01,short,10,11200,equity,net_income,turnover
2023-02-01,short,11,3550,equity,net_income,turnover
2023-02-01,short,12,267250,equity,net_income,turnover
2023-02-01,short,13,96770,equity,net_income,turnover
2023-02-01,short,14,66570,equity,net_income,turnover
2023-02-01,short,15,35420,equity,net_income,turnover
2023-02-01,short,16,880,equity,net_income,turnover
2023-02-01,short,17,373220,equity,net_income,turnover
2023-02-01,short,18,4020,equity,net_income,turnover
2023-02-01,short,19,30200,equity,net_income,turnover
2023-02-01,short,20,15760,equity,net_income,turnover
2023-02-02,short,1,5930,equity,net_income,turnover
2023-02-02,short,2,5380,equity,net_income,turnover
2023-02-02,short,3,34730,equity,net_income,turnover
2023-02-02,short,4,660,equity,net_income,turnover
2023-02-02,short,5,5490,equity,net_income,turnover
2023-02-02,short,6,270,equity,net_income,turnover
2023-02-02,short,7,12330,equity,net_income,turnover
2023-02-02,short,8,51910,equity,net_income,turnover
2023-02-02,short,9,28260,equity,net_income,turnover
2023-02-02,short,10,11200,equity,net_income,turnover
2023-02-02,short,11,3550,equity,net_income,turnover
2023-02-02,short,12,267250,equity,net_income,turnover
2023-02-02,short,13,96770,equity,net_income,turnover
2023-02-02,short,14,66570,equity,net_income,turnover
2023-02-02,short,15,35420,equity,net_income,turnover
2023-02-02,short,16,880,equity,net_income,turnover
2023-02-02,short,17,373220,equity,net_income,turnover
2023-02-02,short,18,4020,equity,net_income,turnover
2023-02-02,short,19,30200,equity,net_income,turnover
2023-02-02,short,20,15760,equity,net_income,turnover
2023-02-03,short,1,5930,equity,net_income,turnover
2023-02-03,short,2,5380,equity,net_income,turnover
2023-02-03,short,3,34730,equity,net_income,turnover
2023-02-03,short,4,660,equity,net_income,turnover
2023-02-03,short,5,5490,equity,net_income,turnover
2023-02-03,short,6,270,equity,net_income,turnover
2023-02-03,short,7,12330,equity,net_income,turnover
2023-02-03,short,8,51910,equity,net_income,turnover
2023-02-03,short,9,28260,equity,net_income,turnover
2023-02-03,short,10,11200,equity,net_income,turnover
2023-02-03,short,11,3550,equity,net_income,turnover
2023-02-03,short,12,267250,equity,net_income,turnover
2023-02-03,short,13,96770,equity,net_income,turnover
2023-02-03,short,14,35420,equity,net_income,turnover
2023-02-03,short,15,66570,equity,net_income,turnover
2023-02-03,short,16,880,equity,net_income,turnover
2023-02-03,short,17,373220,equity,net_income,turnover
2023-02-03,short,18,4020,equity,net_income,turnover
2023-02-03,short,19,30200,equity,net_income,turnover
2023-02-03,short,20,15760,equity,net_income,turnover
2023-02-06,short,1,5930,equity,net_income,turnover
2023-02-06,short,2,5380,equity,net_income,turnover
2023-02-06,short,3,34730,equity,net_income,turnover
2023-02-06,short,4,660,equity,net_income,turnover
2023-02-06,short,5,5490,equity,net_income,turnover
2023-02-06,short,6,270,equity,net_income,turnover
2023-02-06,short,7,12330,equity,net_income,turnover
2023-02-06,short,8,51910,equity,net_income,turnover
2023-02-06,short,9,28260,equity,net_income,turnover
2023-02-06,short,10,11200,equity,net_income,turnover
2023-02-06,short,11,3550,equity,net_income,turnover
2023-02-06,short,12,267250,equity,net_income,turnover
2023-02-06,short,13,96770,equity,net_income,turnover
2023-02-06,short,14,35420,equity,net_income,turnover
2023-02-06,short,15,66570,equity,net_income,turnover
2023-02-06,short,16,880,equity,net_income,turnover
2023-02-06,short,17,373220,equity,net_income,turnover
2023-02-06,short,18,4020,equity,net_income,turnover
2023-02-06,short,19,30200,equity,net_income,turnover
2023-02-06,short,20,15760,equity,net_income,turnover
2023-02-07,short,1,5930,equity,net_income,turnover
