month,kospi200,bt20_short_20,bt20_short_40,bt20_short_60,bt20_short_80,bt20_short_100,bt20_short_120,bt120_long_20,bt120_long_40,bt120_long_60,bt120_long_80,bt120_long_100,bt120_long_120,bt20_ens_20,bt20_ens_40,bt20_ens_60,bt20_ens_80,bt20_ens_100,bt20_ens_120
2023-01,0.45,0.62,0.60,0.54,0.49,0.46,0.43,0.22,0.28,0.36,0.44,0.48,0.52,0.48,0.46,0.45,0.47,0.46,0.44
2023-02,0.92,1.25,1.22,1.08,0.98,0.91,0.86,0.48,0.62,0.78,0.92,1.01,1.08,1.00,0.96,0.94,0.97,0.95,0.93
2023-03,1.48,1.95,1.88,1.68,1.52,1.42,1.35,0.82,1.05,1.32,1.52,1.65,1.76,1.58,1.52,1.50,1.53,1.51,1.49
2023-04,2.05,2.68,2.55,2.28,2.08,1.95,1.86,1.18,1.52,1.88,2.08,2.22,2.35,2.20,2.11,2.08,2.11,2.09,2.07
2023-05,2.68,3.42,3.25,2.92,2.68,2.52,2.41,1.55,2.01,2.48,2.68,2.85,2.98,2.88,2.77,2.73,2.77,2.75,2.73
2023-06,-0.12,-0.05,-0.08,-0.15,-0.22,-0.29,-0.35,0.08,0.05,-0.02,-0.05,0.01,0.05,-0.10,-0.13,-0.15,-0.13,-0.14,-0.16
2023-07,1.02,1.38,1.32,1.18,1.08,1.02,0.97,0.58,0.75,0.92,1.08,1.16,1.22,1.10,1.06,1.04,1.06,1.05,1.03
2023-08,1.78,2.35,2.25,2.02,1.86,1.75,1.68,1.12,1.45,1.75,1.86,1.98,2.08,1.95,1.88,1.86,1.89,1.88,1.86
2023-09,-0.85,-0.65,-0.72,-0.85,-0.95,-1.05,-1.15,-0.45,-0.58,-0.52,-0.65,-0.58,-0.55,-0.78,-0.81,-0.84,-0.81,-0.83,-0.85
2023-10,-1.92,-1.48,-1.58,-1.82,-1.98,-2.18,-2.35,-1.02,-1.25,-1.18,-1.42,-1.25,-1.22,-1.72,-1.76,-1.80,-1.76,-1.78,-1.82
2023-11,0.42,0.58,0.55,0.48,0.44,0.41,0.39,0.22,0.28,0.35,0.41,0.44,0.47,0.40,0.39,0.38,0.40,0.39,0.37
2023-12,1.12,1.48,1.42,1.26,1.18,1.11,1.06,0.72,0.92,1.08,1.18,1.26,1.32,1.20,1.16,1.14,1.17,1.15,1.13
2024-01,1.85,2.38,2.28,2.05,1.88,1.78,1.70,1.25,1.62,1.88,1.88,2.05,2.18,2.00,1.93,1.90,1.93,1.92,1.90
2024-02,2.52,3.22,3.08,2.78,2.58,2.43,2.32,1.78,2.32,2.68,2.58,2.78,2.95,2.72,2.63,2.60,2.63,2.62,2.60
2024-03,0.85,1.12,1.08,0.96,0.88,0.82,0.78,0.45,0.58,0.72,0.88,0.96,1.02,0.88,0.86,0.84,0.86,0.85,0.84
2024-04,1.68,2.15,2.05,1.85,1.71,1.61,1.54,1.12,1.45,1.71,1.71,1.85,1.95,1.75,1.70,1.68,1.71,1.70,1.68
2024-05,2.45,3.05,2.92,2.65,2.46,2.32,2.22,1.72,2.25,2.65,2.46,2.65,2.82,2.60,2.52,2.49,2.52,2.51,2.49
2024-06,3.12,3.82,3.68,3.35,3.12,2.95,2.82,2.28,3.05,3.45,3.12,3.35,3.55,3.28,3.19,3.16,3.19,3.18,3.16
2024-07,1.68,2.08,2.00,1.82,1.70,1.61,1.55,1.12,1.45,1.70,1.70,1.82,1.92,1.75,1.70,1.68,1.71,1.70,1.68
2024-08,2.45,2.98,2.88,2.62,2.45,2.32,2.22,1.72,2.25,2.62,2.45,2.62,2.78,2.60,2.52,2.49,2.52,2.51,2.49
2024-09,1.25,1.55,1.48,1.35,1.26,1.18,1.13,0.85,1.05,1.26,1.26,1.35,1.42,1.22,1.19,1.17,1.20,1.18,1.16
2024-10,-0.45,-0.32,-0.38,-0.48,-0.56,-0.63,-0.70,-0.22,-0.28,-0.25,-0.32,-0.28,-0.26,-0.42,-0.45,-0.48,-0.45,-0.47,-0.50
2024-11,0.68,0.88,0.82,0.74,0.68,0.64,0.61,0.42,0.52,0.61,0.68,0.74,0.78,0.65,0.63,0.62,0.64,0.63,0.61
2024-12,1.35,1.68,1.62,1.46,1.36,1.28,1.22,0.92,1.15,1.36,1.36,1.46,1.54,1.32,1.28,1.26,1.29,1.27,1.25
