month,kospi200,bt20_short_20,bt20_short_40,bt20_short_60,bt20_short_80,bt20_short_100,bt20_short_120,bt120_long_20,bt120_long_40,bt120_long_60,bt120_long_80,bt120_long_100,bt120_long_120,bt20_ens_20,bt20_ens_40,bt20_ens_60,bt20_ens_80,bt20_ens_100,bt20_ens_120
2023-01-01,0.44999999999999485,0.5200000000000093,0.48,0.42,0.38,0.35,0.32,0.22,0.28,0.32,0.38,0.41,0.42999999999999705,0.4,0.38,0.36,0.39,0.37,0.35
2023-02-01,0.8216650000000048,0.9522360000000063,0.89,0.78,0.72,0.65,0.61,0.41,0.52,0.6,0.72,0.78,0.8216769999999984,0.73,0.7,0.68,0.71,0.69,0.67
2023-03-01,1.2854446590000013,1.426711509199996,1.35,1.18,1.09,0.98,0.92,0.65,0.81,0.92,1.09,1.18,1.2451280434000012,1.12,1.07,1.04,1.08,1.05,1.02
2023-04-01,1.6602008042382987,1.7918476706331177,1.72,1.52,1.41,1.27,1.19,0.85,1.05,1.2,1.41,1.52,1.6096105043562403,1.45,1.39,1.36,1.4,1.37,1.34
2023-05-01,2.1380037480182024,2.239731800383904,2.15,1.92,1.78,1.6,1.5,1.1,1.35,1.52,1.78,1.92,2.0262099074241036,1.83,1.76,1.73,1.77,1.74,1.71
2023-06-01,-0.28266694080983923,-0.2140217628253116,-0.22,-0.35,-0.48,-0.62,-0.71,0.05,-0.08,-0.02,-0.18,-0.05,-0.004111669733641854,-0.12,-0.15,-0.18,-0.14,-0.17,-0.2
2023-07-01,0.8840258559826841,0.9834099760207771,0.98,0.85,0.78,0.7,0.65,0.55,0.68,0.75,0.78,0.85,0.8758521475726866,0.82,0.79,0.77,0.8,0.78,0.76
2023-08-01,1.4187111930193952,1.5489170718864909,1.52,1.35,1.25,1.12,1.05,0.88,1.08,1.2,1.25,1.35,1.4004065787400766,1.28,1.24,1.22,1.25,1.23,1.21
2023-09-01,-1.187749684641204,-1.0202705300322412,-1.02,-1.18,-1.28,-1.42,-1.52,-0.68,-0.82,-0.75,-0.95,-0.82,-0.8304023659922111,-1.02,-1.05,-1.08,-1.04,-1.06,-1.09
2023-10-01,-2.1067036125740346,-1.7824144469509973,-1.85,-2.15,-2.35,-2.62,-2.78,-1.25,-1.52,-1.45,-1.72,-1.52,-1.5245895494302664,-1.85,-1.88,-1.92,-1.88,-1.9,-1.94
2023-11-01,0.24273550072420047,0.31944188388426387,0.38,0.32,0.28,0.25,0.22,0.18,0.25,0.28,0.32,0.35,0.29720554390526566,0.3,0.29,0.28,0.29,0.28,0.27
2023-12-01,0.7439491782278207,0.8511349258688572,0.91,0.82,0.75,0.68,0.63,0.52,0.65,0.72,0.75,0.82,0.7886618510703824,0.76,0.74,0.72,0.75,0.73,0.71
2024-01-01,1.2174457393654858,1.3553906004981853,1.39,1.25,1.15,1.04,0.97,0.82,1.02,1.12,1.15,1.25,1.2422108294001921,1.22,1.19,1.17,1.2,1.18,1.16
2024-02-01,1.6830459897665628,1.8621675535006599,1.88,1.72,1.58,1.43,1.34,1.12,1.38,1.48,1.58,1.72,1.7382976624642499,1.68,1.64,1.62,1.65,1.63,1.61
2024-03-01,-0.5844859358052346,-0.5112209504959053,-0.42,-0.52,-0.62,-0.72,-0.82,-0.28,-0.35,-0.32,-0.38,-0.35,-0.4287280777462321,-0.42,-0.45,-0.48,-0.45,-0.47,-0.5
2024-04-01,0.5389093731201777,0.613002252763506,0.72,0.65,0.6,0.55,0.51,0.42,0.52,0.58,0.6,0.65,0.5769417686685374,0.62,0.6,0.59,0.61,0.6,0.58
2024-05-01,1.1119811565469595,1.2368028667306463,1.32,1.22,1.12,1.02,0.95,0.78,0.96,1.05,1.12,1.22,1.1804034192805402,1.17,1.14,1.12,1.15,1.13,1.11
2024-06-01,1.587207467982732,1.75311056135099,1.82,1.68,1.55,1.41,1.32,1.08,1.32,1.42,1.55,1.68,1.6660693556930672,1.64,1.6,1.58,1.61,1.6,1.58
2024-07-01,-1.0235837639444245,-0.8924703132441425,-0.78,-0.92,-1.05,-1.18,-1.28,-0.52,-0.65,-0.62,-0.72,-0.65,-0.753583094972432,-0.78,-0.81,-0.84,-0.81,-0.83,-0.86
2024-08-01,0.09484973952300635,0.13824799549810862,0.3,0.27,0.25,0.22,0.2,0.18,0.22,0.25,0.28,0.3,0.17933322393484108,0.26,0.25,0.24,0.25,0.24,0.23
2024-09-01,0.7354567778559584,0.8392157314665916,0.98,0.88,0.81,0.73,0.68,0.58,0.72,0.8,0.81,0.88,0.7804092232784443,0.85,0.82,0.8,0.83,0.81,0.79
2024-10-01,-1.5512380910013723,-1.3489952499062374,-1.22,-1.42,-1.58,-1.75,-1.88,-0.82,-1.02,-0.95,-1.15,-1.02,-1.134418551963845,-1.22,-1.25,-1.28,-1.25,-1.27,-1.3
2024-11-01,-0.07450666236640258,-0.046801987204991846,0.16,0.14,0.13,0.12,0.11,0.1,0.12,0.14,0.15,0.16,0.002535634688571875,0.14,0.13,0.12,0.13,0.12,0.11
2024-12-01,0.5250462976593928,0.6128891196794495,0.8,0.72,0.66,0.6,0.56,0.48,0.6,0.67,0.66,0.72,0.5825503413697586,0.7,0.68,0.66,0.69,0.67,0.65
