종목명(ticker),전략
Unknown(035250),LONG
Unknown(004370),LONG
Unknown(001040),LONG
Unknown(017670),LONG
Unknown(029780),LONG
Unknown(028260),LONG
Unknown(032640),LONG
Unknown(030200),LONG
Unknown(097950),LONG
Unknown(030000),LONG
Unknown(000240),LONG
Unknown(000100),LONG
Unknown(036460),LONG
Unknown(015760),LONG
Unknown(326030),LONG
Unknown(078930),LONG
Unknown(009240),LONG
Unknown(000880),LONG
Unknown(000080),LONG
Unknown(375500),LONG
Unknown(006280),LONG
Unknown(096770),LONG
Unknown(003090),LONG
Unknown(069960),LONG
Unknown(069620),LONG
Unknown(001440),LONG
Unknown(002380),LONG
Unknown(139480),LONG
Unknown(004990),LONG
Unknown(071050),LONG
Unknown(000210),LONG
Unknown(280360),LONG
Unknown(023530),LONG
Unknown(241590),LONG
Unknown(026960),LONG
Unknown(000120),LONG
Unknown(003490),LONG
Unknown(031430),LONG
Unknown(032350),LONG
Unknown(267250),LONG
Unknown(251270),LONG
Unknown(079550),LONG
Unknown(039130),LONG
Unknown(090430),LONG
Unknown(004170),LONG
Unknown(007310),LONG
Unknown(284740),LONG
Unknown(024110),LONG
Unknown(006360),LONG
Unknown(192080),LONG
Unknown(007070),LONG
Unknown(004800),LONG
Unknown(013890),LONG
Unknown(020000),LONG
Unknown(294870),LONG
Unknown(000670),LONG
Unknown(373220),LONG
Unknown(011170),LONG
Unknown(282330),LONG
Unknown(336260),LONG
Unknown(005300),LONG
Unknown(112610),LONG
Unknown(105560),LONG
Unknown(042660),LONG
Unknown(004020),LONG
Unknown(381970),LONG
Unknown(057050),LONG
Unknown(316140),LONG
Unknown(138930),LONG
Unknown(005830),LONG
Unknown(066570),LONG
Unknown(001800),LONG
Unknown(003410),LONG
Unknown(088350),LONG
Unknown(006800),LONG
Unknown(300720),LONG
Unknown(010780),LONG
Unknown(093370),LONG
Unknown(178920),LONG
Unknown(114090),LONG
Unknown(298020),LONG
Unknown(069260),LONG
Unknown(008770),LONG
Unknown(047040),LONG
Unknown(120110),LONG
Unknown(016380),LONG
Unknown(009900),LONG
Unknown(000990),LONG
Unknown(004000),LONG
Unknown(302440),LONG
Unknown(285130),LONG
Unknown(033780),LONG
Unknown(001740),LONG
Unknown(139130),LONG
Unknown(010060),LONG
Unknown(011210),LONG
Unknown(010950),LONG
Unknown(271560),LONG
Unknown(018260),LONG
Unknown(000720),LONG
Unknown(009970),LONG
